Image_id,material_image_id,style_tags_boho,style_tags_industrial,style_tags_minimalist,style_tags_scandinavian,material_type_fabric,material_type_glass,material_type_leather,material_type_marble,material_type_metal,material_type_stone,material_type_tile,material_type_wood,clean_design_description,user_preference,color1,color2,color3
1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,The raw vibe of this bathroom is perfectly complemented by its sturdy shelving units.,"wants a modern, urban atmosphere",#3020D7, #02A235, #DE15E9
2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"This bathroom embraces a sleek design, highlighted by worn stools.",prefers simplicity and neutral palettes,#AE05EA, #341643, #2CA865
3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Incorporating visible ductwork, this urban bedroom focuses on marble decorative tray to define the bedroom.","wants a modern, urban atmosphere",#7D8FE0, #7B30A7, #83CE64
4,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beautifully styled, this bedroom offers textured rugs paired with layered patterns in an eclectic setting.",likes vibrant colors and handmade decor,#CD1C51, #897AD6, #C05A75
5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A serene living room featuring rough cladding and functional furniture.,prefers simplicity and neutral palettes,#760885, #9D13F1, #4D0B0E
6,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,The utilitarian vibe of this living room is perfectly complemented by its polished coffee tables.,likes metal finishes and exposed structures,#EE9BB3, #953502, #AFA156
7,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A stunning kitchen that mixes natural light with reflective large windows for a truly nordic feel.,likes cozy atmospheres with functional design,#210E50, #ADAB4C, #322EF1
8,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"The interior of this bedroom uses transparent lighting fixtures heavily, creating a cozy atmosphere complete with indoor greenery.",likes cozy atmospheres with functional design,#D20884, #692C22, #588B27
9,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Incorporating factory-style windows, this edgy kitchen focuses on transparent vases to define the kitchen.",prefers raw textures and darker tones,#221C18, #07C349, #1D48EC
10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"This kitchen embraces a relaxed design, highlighted by natural steps.",likes vibrant colors and handmade decor,#C6D00A, #51BE75, #4F2EE2
11,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,The warehouse-inspired vibe of this kitchen is perfectly complemented by its patterned backsplashes.,"wants a modern, urban atmosphere",#A964BC, #4B6CF3, #297FB7
12,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A stunning kitchen that mixes woven baskets with cotton rugs for a truly unconventional feel.,likes vibrant colors and handmade decor,#6CBBFE, #75FB00, #307341
13,13,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Incorporating monochrome palettes, this pure bedroom focuses on distressed accent chairs to define the bedroom.",prefers simplicity and neutral palettes,#247D53, #F97814, #D8C688
14,14,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Designed with an urban aesthetic, this bathroom showcases worn armchairs alongside brick walls.","wants a modern, urban atmosphere",#B0A5E0, #230C6E, #69645F
15,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The interior of this bedroom uses hardwood flooring beautifully, creating an eclectic atmosphere complete with woven baskets.",prefers natural fabrics and artistic patterns,#FAB6B1, #54B5A0, #E894A9
16,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A stunning kitchen that mixes dreamcatchers with rugged cladding for a truly bohemian feel.,prefers natural fabrics and artistic patterns,#B533FA, #0850B8, #3049D8
17,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A stunning living room that mixes natural light with veined accents for a truly cozy feel.,wants warm minimalism and neutral colors,#C0B4E1, #ABDDC3, #E47586
18,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A stunning bedroom that mixes dreamcatchers with timber wardrobe for a truly bohemian feel.,prefers natural fabrics and artistic patterns,#9F8409, #6F0FFE, #17DE87
19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Incorporating functional layouts, this bright bathroom focuses on mosaic bathroom islands to define the bathroom.",likes cozy atmospheres with functional design,#E25DAD, #98CEC6, #F7CAF5
20,20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The utilitarian vibe of this living room is perfectly complemented by its supple poufs.,prefers raw textures and darker tones,#8C7E5A, #8E149A, #831D3E
21,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Designed with an eclectic aesthetic, this bedroom showcases marble accent pieces alongside tapestries.",likes vibrant colors and handmade decor,#C93199, #D33D76, #E0978A
22,22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"This bedroom embraces a vibrant design, highlighted by worn upholstery.",loves eclectic vibes and cozy textures,#5E4406, #66AD09, #C16D2C
