image_path,room_type,style,encoded_label
../data/raw/kitchen/modern/kitchen_modern_224.jpg,kitchen,modern,13
../data/raw/living_room/boho/living_room_boho_123.jpg,living_room,boho,15
../data/raw/kitchen/industrial/kitchen_industrial_220.jpg,kitchen,industrial,11
../data/raw/bedroom/minimalist/bedroom_minimalist_151.jpg,bedroom,minimalist,7
../data/raw/bathroom/scandinavian/bathroom_scandinavian_114.jpg,bathroom,scandinavian,4
../data/raw/bedroom/industrial/bedroom_industrial_193.jpg,bedroom,industrial,6
../data/raw/kitchen/industrial/kitchen_industrial_30.jpg,kitchen,industrial,11
../data/raw/kitchen/industrial/kitchen_industrial_219.jpg,kitchen,industrial,11
../data/raw/kitchen/modern/kitchen_modern_326.jpg,kitchen,modern,13
../data/raw/bathroom/modern/bathroom_modern_99.jpg,bathroom,modern,3
../data/raw/kitchen/minimalist/kitchen_minimalist_114.jpg,kitchen,minimalist,12
../data/raw/bedroom/scandinavian/bedroom_scandinavian_127.jpg,bedroom,scandinavian,9
../data/raw/kitchen/minimalist/kitchen_minimalist_122.jpg,kitchen,minimalist,12
../data/raw/living_room/minimalist/living_room_minimalist_179.jpg,living_room,minimalist,17
../data/raw/bedroom/modern/bedroom_modern_57.jpg,bedroom,modern,8
../data/raw/living_room/scandinavian/living_room_scandinavian_151.jpg,living_room,scandinavian,19
../data/raw/bedroom/boho/bedroom_boho_2.jpg,bedroom,boho,5
../data/raw/living_room/boho/living_room_boho_182.jpg,living_room,boho,15
../data/raw/living_room/scandinavian/living_room_scandinavian_161.jpg,living_room,scandinavian,19
../data/raw/kitchen/modern/kitchen_modern_270.jpg,kitchen,modern,13
../data/raw/bedroom/minimalist/bedroom_minimalist_146.jpg,bedroom,minimalist,7
../data/raw/bedroom/modern/bedroom_modern_167.jpg,bedroom,modern,8
../data/raw/bedroom/minimalist/bedroom_minimalist_181.jpg,bedroom,minimalist,7
../data/raw/bedroom/scandinavian/bedroom_scandinavian_125.jpg,bedroom,scandinavian,9
../data/raw/bathroom/modern/bathroom_modern_67.jpg,bathroom,modern,3
../data/raw/kitchen/boho/kitchen_boho_220.jpg,kitchen,boho,10
../data/raw/living_room/industrial/living_room_industrial_59.jpg,living_room,industrial,16
../data/raw/bedroom/minimalist/bedroom_minimalist_83.jpg,bedroom,minimalist,7
../data/raw/bedroom/scandinavian/bedroom_scandinavian_96.jpg,bedroom,scandinavian,9
../data/raw/kitchen/boho/kitchen_boho_105.jpg,kitchen,boho,10
../data/raw/kitchen/modern/kitchen_modern_306.jpg,kitchen,modern,13
../data/raw/living_room/modern/living_room_modern_240.jpg,living_room,modern,18
../data/raw/bathroom/boho/bathroom_boho_38.jpg,bathroom,boho,0
../data/raw/kitchen/boho/kitchen_boho_316.jpg,kitchen,boho,10
../data/raw/living_room/modern/living_room_modern_173.jpg,living_room,modern,18
../data/raw/kitchen/boho/kitchen_boho_21.jpg,kitchen,boho,10
../data/raw/bedroom/scandinavian/bedroom_scandinavian_27.jpg,bedroom,scandinavian,9
../data/raw/bedroom/industrial/bedroom_industrial_36.jpg,bedroom,industrial,6
../data/raw/bedroom/modern/bedroom_modern_150.jpg,bedroom,modern,8
../data/raw/living_room/modern/living_room_modern_151.jpg,living_room,modern,18
../data/raw/bathroom/minimalist/bathroom_minimalist_148.jpg,bathroom,minimalist,2
../data/raw/bedroom/modern/bedroom_modern_22.jpg,bedroom,modern,8
../data/raw/living_room/minimalist/living_room_minimalist_62.jpg,living_room,minimalist,17
../data/raw/kitchen/modern/kitchen_modern_244.jpg,kitchen,modern,13
../data/raw/kitchen/modern/kitchen_modern_376.jpg,kitchen,modern,13
../data/raw/bedroom/boho/bedroom_boho_48.jpg,bedroom,boho,5
