Image_id,material_image_id,style_tags,design_description,user_preference,material_type,color_palette
1,1,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",metal,"#3020D7, #02A235, #DE15E9"
2,2,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,leather,"#AE05EA, #341643, #2CA865"
3,3,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",marble,"#7D8FE0, #7B30A7, #83CE64"
4,4,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,fabric,"#CD1C51, #897AD6, #C05A75"
5,5,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,stone,"#760885, #9D13F1, #4D0B0E"
6,6,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,marble,"#EE9BB3, #953502, #AFA156"
7,7,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,glass,"#210E50, #ADAB4C, #322EF1"
8,8,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,glass,"#D20884, #692C22, #588B27"
9,9,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,glass,"#221C18, #07C349, #1D48EC"
10,10,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,stone,"#C6D00A, #51BE75, #4F2EE2"
11,11,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",tile,"#A964BC, #4B6CF3, #297FB7"
12,12,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,fabric,"#6CBBFE, #75FB00, #307341"
13,13,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,leather,"#247D53, #F97814, #D8C688"
14,14,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",leather,"#B0A5E0, #230C6E, #69645F"
15,15,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,wood,"#FAB6B1, #54B5A0, #E894A9"
16,16,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,stone,"#B533FA, #0850B8, #3049D8"
17,17,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,marble,"#C0B4E1, #ABDDC3, #E47586"
18,18,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,wood,"#9F8409, #6F0FFE, #17DE87"
19,19,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,tile,"#E25DAD, #98CEC6, #F7CAF5"
20,20,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,leather,"#8C7E5A, #8E149A, #831D3E"
21,21,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,marble,"#C93199, #D33D76, #E0978A"
22,22,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,leather,"#5E4406, #66AD09, #C16D2C"
23,23,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,leather,"#37A8D3, #3AB39E, #0BFA98"
24,24,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,tile,"#1A9786, #47E9C8, #690F0C"
25,25,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",wood,"#92AA52, #D30CEA, #20F36D"
